"Name","LaunchCommand"
"Steamworks Common Redistributables","steam://rungameid/228980"
"Ultimate Chicken Horse","steam://rungameid/386940"
"Garry's Mod","steam://rungameid/4000"
"Golf With Your Friends","steam://rungameid/431240"
"Wallpaper Engine","steam://rungameid/431960"
"The Anacrusis","steam://rungameid/1120480"
"Deadlock","steam://rungameid/1422450"
"Lethal Company","steam://rungameid/1966720"
"THE FINALS","steam://rungameid/2073850"
"PAYDAY 2","steam://rungameid/218620"
"Killing Floor 2","steam://rungameid/232090"
"OverwatchÂ® 2","steam://rungameid/2357570"
"Rust","steam://rungameid/252490"
"Marvel Rivals","steam://rungameid/2767030"
"Sid Meier's Civilization VI","steam://rungameid/289070"
"Nuclear Nightmare","steam://rungameid/2909110"
"Rec Room","steam://rungameid/471710"
"GTFO","steam://rungameid/493520"
"Satisfactory","steam://rungameid/526870"
"Warhammer: Vermintide 2","steam://rungameid/552500"
"HELLDIVERSâ„¢ 2","steam://rungameid/553850"
"Counter-Strike 2","steam://rungameid/730"
"Back 4 Blood","steam://rungameid/924970"
